nohup: 忽略输入
Dataset
sheet has 5097 rows
====================test  ======================
[1147, 2294, 3441, 4588, 5735, 6882, 8029, 9176, 10323, 11470, 12617, 13764, 14911, 16058, 17205]
./jobs/iter_2294.pth 3100 pa = 0.987, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.494, FWIoU=0.974, discore=0.460, BWdiscore=0.994
./jobs/iter_2294.pth 3200 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.611, BWdiscore=0.996
./jobs/iter_2294.pth 3300 pa = 0.936, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.468, FWIoU=0.876, discore=0.411, BWdiscore=0.967
./jobs/iter_2294.pth 3400 pa = 0.987, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.493, FWIoU=0.974, discore=0.660, BWdiscore=0.993
./jobs/iter_2294.pth 3500 pa = 0.943, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.471, FWIoU=0.889, discore=0.590, BWdiscore=0.970
./jobs/iter_2294.pth 3600 pa = 0.989, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.494, FWIoU=0.977, discore=0.593, BWdiscore=0.994
./jobs/iter_2294.pth 3700 pa = 0.919, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.459, FWIoU=0.844, discore=0.486, BWdiscore=0.958
./jobs/iter_2294.pth 3800 pa = 0.960, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.480, FWIoU=0.922, discore=0.492, BWdiscore=0.980
./jobs/iter_2294.pth 3900 pa = 0.990, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.980, discore=0.495, BWdiscore=0.995
./jobs/iter_2294.pth 4000 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.500, BWdiscore=0.996
./jobs/iter_2294.pth 4100 pa = 0.980, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.490, FWIoU=0.960, discore=0.498, BWdiscore=0.990
./jobs/iter_2294.pth 4200 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.982, discore=0.489, BWdiscore=0.996
./jobs/iter_2294.pth 4300 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.988, discore=0.497, BWdiscore=0.997
./jobs/iter_2294.pth 4400 pa = 0.996, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.498, FWIoU=0.992, discore=0.490, BWdiscore=0.998
./jobs/iter_2294.pth 4500 pa = 0.987, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.494, FWIoU=0.974, discore=0.487, BWdiscore=0.994
